filename,original,gap,test
Happy_gap_+2ST.mp3,23.3,7.5,6.2
Bus_gap_+1ST.mp3,21.7,3.1,8.7
Twinkle_gap_+3ST.mp3,17.5,5,12
Old_gap_-3ST.mp3,23.9,2.3,3.8
IfYou'reHappy_gap_-2ST.mp3,24.5,4.3,9.8
IfYou'reHappy_gap_+3ST.mp3,24.5,4.3,10.1
Twinkle_gap_-3ST.mp3,17.9,5.1,13.3
Twinkle_gap_-2ST.mp3,17.9,4.9,13.6
Old_gap_+2ST.mp3,23.9,2.3,4.1
Bus_gap_-2ST.mp3,21.6,3.2,8.4
Twinkle_gap_+1ST.mp3,17.5,5,12
Happy_gap_-3ST.mp3,23.4,7.4,7
IfYou'reHappy_gap_+1ST.mp3,24.7,4.2,9.7
IfYou'reHappy_gap_-3ST.mp3,24.3,4.5,10
Happy_gap_+3ST.mp3,23.3,7.5,6.2
Old_gap_+1ST.mp3,23.8,2.4,4.1
Bus_gap_+3ST.mp3,21.7,3.1,8.3
Twinkle_gap_+2ST.mp3,17.5,5,12
Happy_gap_-1ST.mp3,23.4,7.4,6.5
Old_gap_-2ST.mp3,23.9,2.3,3.8
Bus_gap_+2ST.mp3,21.7,3.1,8.5
IfYou'reHappy_gap_+2ST.mp3,24.7,4.2,9.7
IfYou'reHappy_gap_-1ST.mp3,24.5,4.3,9.8
Twinkle_gap_+2ST.mp3,17.5,5,12
Bus_gap_-1ST.mp3,21.7,3.1,8.7
Happy_gap_-2ST.mp3,23.4,7.4,6.5
Old_gap_-1ST.mp3,23.9,2.3,3.9
IfYou'reHappy_gap.mp3,24.3,4.6,9.8
Twinkle_gap.mp3,17.4,5.2,12
Happy_gap.mp3,23.3,7.4,6.6
Bus_gap.mp3,21.8,3,8.8
Old_gap.mp3,23.8,2.5,3.8
